epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,2573.95,0.01537,1.07874,1.4724,0.69203,0.71971,0.73096,0.49966,0.01857,0.89578,1.95025,0.000303818,0.000303818,0.000303818
57,2618.82,0.01577,1.12867,1.49226,0.62207,0.7619,0.74953,0.49158,0.01848,0.95967,1.85652,0.000297215,0.000297215,0.000297215
58,2664.11,0.0156,1.10809,1.4774,0.7456,0.70568,0.74755,0.50652,0.01679,0.85529,1.73959,0.000290612,0.000290612,0.000290612
59,2711.31,0.01541,1.07566,1.49129,0.67524,0.72699,0.74488,0.49272,0.01893,0.89266,1.84627,0.000284009,0.000284009,0.000284009
60,2755.91,0.0157,1.07657,1.49743,0.68572,0.72857,0.75748,0.47592,0.01881,0.90285,1.92941,0.000277405,0.000277405,0.000277405
61,2801.3,0.0148,0.99378,1.42256,0.68496,0.72857,0.74431,0.47533,0.01759,0.92985,1.73905,0.000270802,0.000270802,0.000270802
62,2846.25,0.01519,1.04417,1.45238,0.79139,0.73999,0.75813,0.47969,0.01817,0.96956,1.8001,0.000264199,0.000264199,0.000264199
63,2889.7,0.01502,1.05593,1.43725,0.80213,0.72245,0.74913,0.48247,0.01844,0.91921,1.82874,0.000257595,0.000257595,0.000257595
64,2933.78,0.01499,0.9948,1.41878,0.82393,0.72595,0.85814,0.49527,0.01815,0.89929,1.8255,0.000250992,0.000250992,0.000250992
65,2982.26,0.01479,1.02798,1.44061,0.72616,0.7311,0.76592,0.4966,0.01835,0.80606,1.82621,0.000244389,0.000244389,0.000244389
66,3026.19,0.01494,1.01595,1.45291,0.73426,0.72324,0.75489,0.4998,0.01989,0.88372,2.0118,0.000237785,0.000237785,0.000237785
67,3070.85,0.01524,1.01946,1.45968,0.75131,0.72802,0.74412,0.501,0.01926,0.82224,1.92374,0.000231182,0.000231182,0.000231182
68,3115.23,0.01476,1.00241,1.41887,0.74748,0.72599,0.76089,0.47853,0.01987,0.88028,2.01741,0.000224579,0.000224579,0.000224579
69,3160.29,0.01497,1.0008,1.43053,0.70056,0.7619,0.77596,0.50762,0.01729,0.80709,1.71327,0.000217976,0.000217976,0.000217976
70,3202.84,0.01445,0.98016,1.41217,0.81984,0.73812,0.77527,0.51027,0.01749,0.82123,1.80616,0.000211372,0.000211372,0.000211372
71,3249.45,0.01491,1.03366,1.46591,0.79822,0.72544,0.76249,0.50761,0.0175,0.82651,1.7975,0.000204769,0.000204769,0.000204769
72,3291.14,0.01453,0.98271,1.43681,0.85993,0.70413,0.75785,0.53083,0.01659,0.81256,1.76275,0.000198166,0.000198166,0.000198166
73,3341.36,0.01445,0.94718,1.38036,0.84183,0.70427,0.75897,0.51275,0.01757,0.84172,1.83216,0.000191562,0.000191562,0.000191562
74,3387.57,0.01485,0.98331,1.42466,0.77551,0.7619,0.7688,0.5087,0.01812,0.86272,1.81439,0.000184959,0.000184959,0.000184959
75,3430.88,0.0138,0.9197,1.36246,0.78251,0.77857,0.76233,0.53001,0.01546,0.73797,1.59636,0.000178356,0.000178356,0.000178356
76,3474.39,0.0147,0.99252,1.42154,0.7311,0.7597,0.7807,0.52666,0.01656,0.80353,1.66308,0.000171752,0.000171752,0.000171752
77,3522.69,0.01446,0.96316,1.39788,0.73617,0.73615,0.76857,0.51876,0.0158,0.75967,1.65392,0.000165149,0.000165149,0.000165149
78,3567.67,0.01395,0.90925,1.37567,0.73853,0.73275,0.77283,0.5082,0.0173,0.84138,1.73894,0.000158546,0.000158546,0.000158546
79,3613.2,0.01422,0.90631,1.38897,0.72025,0.73634,0.76266,0.50434,0.01724,0.77624,1.77809,0.000151943,0.000151943,0.000151943
80,3657.56,0.01419,0.93667,1.3989,0.73428,0.7086,0.7606,0.49555,0.01809,0.82719,1.86108,0.000145339,0.000145339,0.000145339
81,3701.45,0.01396,0.906,1.35792,0.73282,0.7082,0.75357,0.50188,0.01837,0.7959,1.8774,0.000138736,0.000138736,0.000138736
82,3747.27,0.01432,0.93169,1.39145,0.74746,0.71865,0.75308,0.50502,0.01689,0.82759,1.74607,0.000132133,0.000132133,0.000132133
83,3794.27,0.01441,0.95428,1.39651,0.76191,0.71184,0.75271,0.52672,0.01717,0.84589,1.77766,0.000125529,0.000125529,0.000125529
84,3840.41,0.01399,0.90981,1.38837,0.68103,0.75925,0.76433,0.52667,0.0182,0.82675,1.85215,0.000118926,0.000118926,0.000118926
85,3883.75,0.01391,0.91796,1.37071,0.70566,0.76595,0.77601,0.53203,0.0169,0.78313,1.72975,0.000112323,0.000112323,0.000112323
86,3930.13,0.01357,0.88445,1.36186,0.69567,0.76129,0.77339,0.51404,0.01863,0.79476,1.86215,0.00010572,0.00010572,0.00010572
87,3973.16,0.01349,0.89187,1.36207,0.67951,0.76555,0.77368,0.52754,0.01706,0.75691,1.74733,9.91162e-05,9.91162e-05,9.91162e-05
88,4017.89,0.01317,0.87916,1.32893,0.72482,0.71746,0.76676,0.53191,0.01713,0.80083,1.76394,9.25129e-05,9.25129e-05,9.25129e-05
89,4064,0.01351,0.8765,1.34877,0.73819,0.71746,0.75744,0.51592,0.01813,0.79688,1.85401,8.59096e-05,8.59096e-05,8.59096e-05
90,4113.11,0.01347,0.87402,1.35721,0.82341,0.74934,0.76001,0.53702,0.01809,0.78661,1.85694,7.93063e-05,7.93063e-05,7.93063e-05
91,4165.77,0.01235,0.69624,1.36363,0.84886,0.74641,0.77474,0.48824,0.02075,0.87327,2.11249,7.2703e-05,7.2703e-05,7.2703e-05
92,4201.97,0.01198,0.68124,1.34667,0.78682,0.75667,0.75411,0.48221,0.02063,0.82803,2.07755,6.60997e-05,6.60997e-05,6.60997e-05
93,4242.96,0.01163,0.65328,1.34989,0.82454,0.70079,0.74578,0.49455,0.01847,0.8107,1.84812,5.94964e-05,5.94964e-05,5.94964e-05
94,4281.98,0.01162,0.64275,1.36544,0.83301,0.70079,0.74339,0.48775,0.01907,0.82987,1.88578,5.28931e-05,5.28931e-05,5.28931e-05
95,4318.93,0.0117,0.64708,1.33819,0.86283,0.71746,0.76249,0.49725,0.01952,0.81769,1.95123,4.62898e-05,4.62898e-05,4.62898e-05
96,4357.97,0.01172,0.63365,1.33822,0.84881,0.71289,0.76314,0.52021,0.01738,0.77551,1.78841,3.96865e-05,3.96865e-05,3.96865e-05
97,4394.2,0.01174,0.62335,1.35068,0.8121,0.76214,0.7661,0.52165,0.01743,0.77062,1.7986,3.30832e-05,3.30832e-05,3.30832e-05
98,4433.21,0.01172,0.64964,1.37254,0.82199,0.74709,0.76206,0.51772,0.01765,0.76513,1.8113,2.64799e-05,2.64799e-05,2.64799e-05
99,4470.76,0.0113,0.62422,1.31303,0.82193,0.74949,0.77037,0.51182,0.01794,0.76877,1.84136,1.98766e-05,1.98766e-05,1.98766e-05
100,4512.35,0.01136,0.62215,1.31448,0.82247,0.74877,0.76984,0.5157,0.01799,0.75026,1.84293,1.32733e-05,1.32733e-05,1.32733e-05
